id        first_name          last_name           zip_code  
162       Jerry               Griffin             1902      
163       Christopher         Kelly               2176      
164       Clarence            Stewart             1867      
165       William             Rodriguez           1333      
166       Randy               Parker              1821      
167       Carl                Hill                2744      
168       Samuel              Allen               1893      
169       Timothy             Torres              1223      
170       Carlos              Johnson             1108      
171       Jesse               Torres              2186      
172       Kevin               Garcia              4630      
173       Chris               Hall                3239      
174       Andrew              Stewart             4591      
175       Jason               Lopez               1898      
176       Jason               Hughes              3085      
177       Shawn               Scott               1303      
178       Eric                Ramirez             2718      
179       Mark                Adams               2805      
180       Arthur              Hill                3948      
181       Benjamin            Simmons             2233      
182       Ryan                Mitchell            1941      
183       Nathan              Lee                 2843      
184       Clarence            Lee                 2039      
185       Roger               Anderson            4249      
186       Raymond             Thompson            2072      
187       Raymond             Cook                2267      
188       Billy               Anderson            4162      
189       Timothy             Martin              3174      
190       Bobby               Bailey              2668      
191       Carl                Rivera              1577      
192       Bruce               Martin              4107      
193       Douglas             Simmons             3375      
194       Benjamin            Ross                3677      
195       Leonard             Davis               4704      
196       Robert              Long                2503      
197       Benjamin            Perez               1302      
198       William             Scott               3710      
199       Albert              Baker               1595      
200       Shawn               Stewart             3447      
201       Patrick             Campbell            4821      
202       Leonard             Anderson            1089      
203       Dale                Martin              3922      
204       Charles             Rivera              1395      
205       Jesse               Wilson              1403      
206       Adam                Hall                4920      
207       Daniel              Ramirez             1290      
208       Adam                Stewart             4474      
209       Terry               Alexander           4709      
210       Earl                Lee                 2488      
211       Jose                Rivera              3647      
212       Harry               Thomas              2410      
213       Harry               Gray                4313      
214       Earl                Clark               2132      
215       Philip              Coleman             2393      
216       Shawn               Cooper              1586      
217       Brian               Patterson           2091      
218       Walter              Doe                 3967      
219       Carlos              Mitchell            2434      
220       Randy               Martin              2046      
221       Alan                Robinson            2352      
222       Sean                Lee                 4228      
223       James               Reed                4690      
224       Jonathan            Patterson           1735      
225       Louis               Hill                3027      
226       Jeffrey             Smith               3704      
227       Jack                Walker              1444      
228       Adam                Miller              4992      
229       Samuel              Wright              2216      
230       Dennis              Cooper              3184      
231       Edward              Thompson            3713      
232       Leonard             Lee                 3700      
233       Jeffrey             Howard              3326      
234       Howard              Perez               3952      
235       Aaron               Garcia              2101      
236       Raymond             Coleman             2898      
237       Douglas             Long                2022      
238       Albert              Powell              4715      
239       Gerald              Robinson            3378      
240       Richard             Ward                4574      
241       Joe                 Morgan              1188      
242       Keith               Scott               1749      
243       Andrew              Ward                3153      
244       Frank               Martinez            2096      
245       Shawn               Stewart             4382      
246       Christopher         Harris              2788      
247       Dale                Miller              4842      
248       Terry               Butler              1740      
249       Juan                Hernandez           1309      
250       Nicholas            Edwards             4638      
251       Charles             Murphy              2090      
252       Sean                Hernandez           1940      
253       Jerry               Murphy              3814      
254       Aaron               Carter              3334      
255       Lawrence            Peterson            3816      
256       Carl                Lee                 4200      
257       Frank               Martin              2273      
258       Clarence            Clark               3311      
259       Scott               Hughes              1249      
260       Joshua              Lopez               2331      
261       Jack                Campbell            2141      
262       Louis               Morgan              2055      
263       Todd                Long                4115      
264       Bryan               Perez               4216      
265       Nathan              Baker               4981      
266       Paul                Brown               2497      
267       Philip              Nelson              4493      
268       Christopher         Gonzales            2493      
269       Gary                Adams               1122      
270       Sean                Flores              4509      
271       Jack                Rivera              4121      
272       David               Bell                3268      
273       Gerald              Green               2979      
274       Mark                Brooks              1313      
275       Christopher         James               2214      
276       Philip              Lopez               2919      
277       Leonard             Martinez            3058      
278       Mark                Cox                 3176      
279       Patrick             Torres              1151      
280       Dennis              Roberts             2474      
281       Douglas             Brooks              4216      
282       Juan                Rodriguez           1607      
283       Edward              Miller              2504      
284       Antonio             Moore               2060      
285       Curtis              Martinez            1193      
286       Ryan                Perez               3006      
287       Christopher         Walker              4771      
288       Johnny              Patterson           3703      
289       Andrew              Thompson            3720      
290       Phillip             Adams               4105      
291       Nathan              Ramirez             2382      
292       Dale                Evans               4212      
293       Luis                Barnes              2276      
294       Daniel              Gonzales            1689      
295       Eugene              Hall                4478      
296       Joseph              Richardson          2401      
297       Bruce               Moore               3090      
298       Joe                 Bell                3035      
299       Jeffrey             Evans               4586      
300       Joshua              Clark               1250      
301       Aaron               Bell                1267      
302       Mark                Wilson              4889      
303       Donald              Foster              1901      
304       James               Rodriguez           2128      
305       Thomas              Gray                1934      
306       Samuel              Harris              2420      
307       Frank               Garcia              4092      
308       Todd                Hughes              4770      
309       Todd                Long                2570      
310       Craig               Turner              4035      
311       Brandon             Bryant              4696      
312       Joshua              Robinson            4221      
313       Douglas             Walker              4768      
314       Johnny              King                1399      
315       Randy               King                4754      
316       Russell             Martinez            4677      
317       Steve               Bailey              1724      
318       Manuel              Gonzales            4896      
319       Kevin               Torres              1739      
320       Paul                Clark               3270      
321       Martin              Moore               1638      
322       Jason               Davis               4491      
323       Sean                Griffin             2905      
324       Adam                Griffin             1342      
325       Gary                Doe                 3649      
326       Terry               Miller              1413      
327       William             Bailey              2457      
328       Carlos              Hernandez           3905      
329       Robert              Hill                2709      
330       Earl                Foster              4676      
331       Paul                Reed                2654      
332       Mike                Flores              1662      
333       Chris               Torres              2144      
334       Randy               Davis               2614      
335       Richard             Bennett             4377      
336       Samuel              Garcia              1034      
337       Larry               Griffin             1962      
338       Norman              Washington          2486      
339       Edward              Lopez               2252      
340       Nathan              Roberts             1350      
341       Alan                Perry               4677      
342       Patrick             Harris              2167      
343       Benjamin            Patterson           3416      
344       Eugene              Hernandez           2174      
345       Edward              Evans               3167      
346       Philip              Hughes              1737      
347       George              White               4331      
348       Benjamin            Sanders             4540      
349       Willie              Adams               3847      
350       Jose                Stewart             1010      
351       Mark                Hernandez           1127      
352       David               Davis               2733      
353       Joshua              Washington          3388      
354       Dale                Taylor              4618      
355       Christopher         Morgan              3812      
356       Jimmy               Alexander           4115      
357       Kevin               Allen               4337      
358       Bryan               Taylor              1737      
359       Stanley             Bell                4390      
360       Alan                Morgan              1471      
361       Joshua              Coleman             2174      
362       Gary                Alexander           2480      
363       Billy               Baker               1423      
364       Leonard             Simmons             3985      
365       Anthony             Richardson          2190      
366       Christopher         Cook                1703      
367       Jason               Long                3897      
368       Norman              Martinez            2292      
369       Jerry               Hill                2513      
370       Clarence            Sanchez             2926      
371       Eugene              Collins             4807      
372       Larry               Cox                 1708      
373       Mark                Reed                2579      
374       Louis               Sanchez             4801      
375       Ryan                Gonzalez            3705      
376       Charles             Price               3888      
377       Jonathan            Ramirez             2704      
378       Charles             Powell              2473      
379       Antonio             Price               1673      
380       James               Washington          3897      
381       Brian               Morgan              4903      
382       Donald              Hall                1732      
383       Scott               Martin              3530      
384       Billy               Parker              3430      
385       Andrew              Sanchez             1431      
386       Bruce               Foster              2860      
387       Terry               Butler              3714      
388       Gerald              Bell                1142      
389       Danny               Rogers              2094      
390       Roy                 Murphy              3191      
391       Victor              Smith               2817      
392       Tony                Edwards             1508      
393       Gregory             Brooks              4142      
394       Todd                Murphy              1358      
395       Daniel              Moore               3897      
396       Charles             Perez               3595      
397       Walter              Jackson             3366      
398       Todd                Lee                 3464      
399       Jonathan            Ward                2491      
400       Victor              Edwards             3301      
401       George              Bailey              3976      
402       Henry               Anderson            1721      
403       Steve               Patterson           2016      
404       Stephen             Alexander           3473      
405       Bobby               Jackson             3801      
406       Joshua              Carter              3971      
407       Brian               Moore               3252      
408       Phillip             Baker               2905      
409       Larry               Powell              4733      
410       Antonio             Russell             2554      
411       Peter               Griffin             4277      
412       Ryan                Lee                 4588      
413       Thomas              Phillips            2244      
414       Willie              Cox                 4689      
415       Justin              Washington          2830      
416       Willie              Carter              3990      
417       Carlos              Peterson            3025      
418       Bruce               Scott               3156      
419       Kevin               Brown               2975      
420       Rodney              Ward                2831      
421       Henry               Murphy              3610      
422       Larry               Mitchell            2585      
423       Earl                Richardson          1380      
424       Joseph              Campbell            4312      
425       Russell             Anderson            1235      
426       Charles             Edwards             3864      
427       Bruce               Long                1936      
428       James               Bryant              3592      
429       Albert              Foster              2112      
430       Thomas              Harris              1300      
431       Michael             Perez               2996      
432       Jimmy               Phillips            1702      
433       Scott               Mitchell            3613      
434       Phillip             Torres              1775      
435       Tony                Lopez               1250      
436       Louis               Allen               2779      
437       Henry               Johnson             3478      
438       Shawn               Brooks              1103      
439       Justin              Richardson          4444      
440       Gerald              Campbell            4059      
441       Johnny              Mitchell            1213      
442       Fred                Carter              4958      
443       Sean                Phillips            1692      
444       Juan                Carter              4522      
445       Danny               Young               4171      
446       Daniel              Adams               1668      
447       Billy               Powell              3975      
448       Eugene              Stewart             2254      
449       Joseph              Walker              2484      
450       Joseph              Lewis               3416      
451       Thomas              Young               1268      
452       Fred                Simmons             2504      
453       Stanley             Washington          3036      
454       Eugene              Ward                4861      
455       George              Ramirez             2983      
456       Billy               Bell                3987      
457       Walter              Bell                1301      
458       Stephen             Collins             1799      
459       Ralph               Wright              4861      
460       Curtis              Morris              1800      
461       Keith               Morris              2141      
462       Carl                King                3588      
463       Jason               Brooks              4557      
464       Roger               Taylor              4742      
465       Jesse               Long                3162      
466       Bruce               Turner              4422      
467       Fred                Wilson              1825      
468       Louis               Parker              1189      
469       Chris               Hill                1744      
470       Roger               Rogers              3242      
471       Aaron               Morris              1476      
472       Walter              Wood                1878      
473       Joe                 Gray                3454      
474       Samuel              Flores              3192      
475       Brandon             Powell              1861      
476       Allen               Wood                1677      
477       Victor              Walker              1602      
478       Fred                Morris              1574      
479       Ralph               White               1680      
480       Allen               Coleman             4420      
481       Donald              Bailey              1006      
482       David               Washington          2793      
483       Michael             Foster              1467      
484       William             Torres              4927      
485       Jeffrey             Thomas              4912      
486       Allen               Johnson             1536      
487       Harry               Wilson              4966      
488       Bruce               Lewis               4988      
489       Mark                James               3684      
490       Fred                Johnson             1537      
491       Sean                Flores              3911      
492       Donald              Morgan              2673      
493       James               Henderson           4054      
494       Tony                Jenkins             3438      
495       Shawn               Walker              3069      
496       Jonathan            Davis               1962      
497       Anthony             Jackson             1833      
498       Justin              Allen               3913      
499       Billy               Henderson           3867      
500       Brandon             Bell                4961      
501       Tony                Walker              3047      
502       Albert              Bennett             1638      
503       Louis               Roberts             2592      
504       Kevin               Harris              3432      
505       Luis                Howard              4805      
506       Joe                 Thompson            3113      
507       Albert              Hayes               4127      
508       Johnny              Hayes               1990      
509       Juan                Rivera              4830      
510       Mike                Griffin             1747      
511       Ronald              Henderson           2907      
512       Jimmy               Harris              1909      
513       Russell             Simmons             1325      
514       Robert              Diaz                4798      
515       Chris               Martin              4716      
516       Anthony             Reed                4262      
517       Louis               Mitchell            4002      
518       Douglas             Ward                3572      
519       Sean                Henderson           1528      
520       Matthew             Campbell            3787      
521       Louis               Simmons             1686      
522       Lawrence            Martin              2241      
523       Mark                Roberts             4672      
524       Larry               Thompson            4770      
525       Norman              Scott               1874      
526       Harry               Butler              2652      
527       Peter               Torres              4226      
528       Martin              Green               4191      
529       Jason               Kelly               3620      
530       Christopher         James               4077      
531       Roger               Carter              1775      
532       Stanley             Green               3836      
533       Joseph              Rivera              2990      
534       David               Taylor              1978      
535       Randy               Hill                1732      
536       Philip              Cooper              1274      
537       Peter               Ward                1398      
538       David               Cook                1173      
539       Roy                 Wright              3396      
540       Kenneth             Henderson           4967      
541       Willie              Gonzales            1230      
542       Dale                Torres              2720      
543       Henry               Davis               2543      
544       Jerry               Long                3381      
545       Lawrence            Wilson              4104      
546       Allen               Ramirez             1732      
547       Eugene              Patterson           1494      
548       Mike                Green               3272      
549       Arthur              Peterson            3589      
550       Paul                Parker              1313      
551       Henry               Hill                3251      
552       Jerry               Ross                2368      
553       Mike                Lewis               1293      
554       Lawrence            Lee                 4970      
555       Roy                 Wright              1291      
556       Manuel              Peterson            3382      
557       Adam                Bailey              3749      
558       Kenneth             Parker              3301      
559       Stephen             Cooper              1764      
560       Jonathan            Baker               3926      
561       Daniel              White               1029      
562       Earl                Lee                 4271      
563       Bryan               Scott               3869      
564       Steve               Barnes              4664      
565       Anthony             Collins             2114      
566       Joe                 Henderson           1264      
567       Jeremy              Baker               3873      
568       Carl                Allen               4542      
569       Robert              Taylor              4300      
570       Frank               Davis               3686      
571       Bryan               Miller              3041      
572       Anthony             Hayes               1895      
573       Jerry               Roberts             2028      
574       Harry               Taylor              3572      
575       George              Davis               3707      
576       Billy               Moore               3799      
577       Mark                Butler              1475      
578       Wayne               Murphy              4211      
579       Larry               Morris              4374      
580       Brian               Howard              4343      
581       Brian               Davis               4355      
582       David               Baker               4096      
583       Brian               Torres              1583      
584       Brian               Doe                 4726      
585       Albert              Carter              2979      
586       Ryan                Gonzalez            3343      
587       Jose                Nelson              4497      
588       Craig               Adams               2303      
589       Bruce               Lewis               3997      
590       Alan                Ramirez             3742      
591       Henry               Ross                1310      
592       Manuel              Wright              3211      
593       Lawrence            Perez               2574      
594       Larry               Ward                1677      
595       Thomas              Wilson              2816      
596       Joseph              Morgan              4123      
597       David               Coleman             1011      
598       William             Coleman             4349      
599       Roy                 Griffin             4720      
600       Jose                Clark               2384      
601       Lawrence            Jackson             1509      
602       Harry               Sanders             3016      
603       Brandon             Hayes               1320      
604       Brandon             Hall                3158      
605       Craig               Hughes              3830      
606       Robert              Campbell            2233      
607       Joseph              Price               3101      
608       Timothy             Smith               2264      
609       Joshua              Torres              4581      
610       Aaron               White               2313      
611       Jesse               Coleman             4051      
612       Bryan               Sanders             3617      
613       Shawn               Wright              3105      
614       Randy               Price               3932      
615       Kenneth             Cox                 2820      
616       Steven              Flores              3666      
617       Samuel              Coleman             2259      
618       Roger               Washington          4506      
619       Christopher         Wilson              4510      
620       Roger               Gonzalez            1478      
621       Antonio             Howard              3633      
622       Allen               Wilson              3028      
623       Victor              Hughes              4964      
624       Anthony             Henderson           1667      
625       Carlos              James               3254      
626       George              Kelly               4865      
627       Carl                Price               4192      
628       Robert              Perry               3247      
629       Walter              Sanders             4682      
630       Gerald              Edwards             3165      
631       Dennis              Watson              1518      
632       Mike                Ramirez             2682      
633       Rodney              Cook                3070      
634       Walter              Allen               2594      
635       Jack                Phillips            2343      
636       Adam                Thomas              3690      
637       Joe                 Price               4373      
638       Raymond             Campbell            2488      
639       Joseph              Kelly               1192      
640       Louis               Bryant              3642      
641       Robert              Thompson            3595      
642       Eugene              Long                2625      
643       Victor              King                1449      
644       Thomas              Jackson             1148      
645       George              Foster              2556      
646       Christopher         Bailey              1047      
647       Anthony             Cooper              1028      
648       Jack                Hall                2337      
649       Andrew              Robinson            2501      
650       Edward              Alexander           3718      
651       Scott               Griffin             1506      
652       Donald              Griffin             4101      
653       Roy                 King                2236      
654       Albert              Harris              3229      
655       Michael             Diaz                4721      
656       Fred                Hernandez           3009      
657       Billy               Taylor              1855      
658       Andrew              Coleman             4350      
659       Gerald              Wilson              4219      
660       Joshua              White               2269      
661       Albert              Nelson              4255      
662       Gerald              Turner              4685      
663       Steven              Ross                3302      
664       Thomas              Flores              1102      
665       Harry               Allen               4926      
666       Carlos              Bell                1654      
667       Kevin               Thompson            3639      
668       Eric                Hall                3341      
669       Eugene              Phillips            1723      
670       Roger               Sanders             4263      
671       Charles             James               2124      
672       Charles             Rodriguez           1439      
673       Kenneth             Jackson             4820      
674       Stanley             Lewis               4665      
675       Jonathan            Long                2363      
676       Anthony             Wright              3438      
677       Craig               Adams               4517      
678       George              Jackson             3474      
679       Bobby               Brown               2684      
680       Charles             Russell             2872      
681       Roy                 Cox                 3257      
682       Russell             Martin              1281      
683       Michael             Bryant              1231      
684       Norman              Henderson           4056      
685       Juan                Parker              1272      
686       Philip              Johnson             1202      
687       Raymond             Johnson             4773      
688       Joshua              Sanchez             4115      
689       Kenneth             Torres              1400      
690       Eric                Evans               4514      
691       Bryan               Hill                2859      
692       Kevin               Walker              4887      
693       Eugene              Barnes              3491      
694       Andrew              Rivera              2527      
695       Walter              Brown               2274      
696       Richard             Jenkins             4332      
697       Fred                Patterson           1425      
698       Henry               Stewart             4166      
699       Jonathan            Morgan              1343      
700       Allen               Campbell            3741      
701       Victor              Ramirez             3795      
702       Bobby               Parker              2755      
703       Clarence            Richardson          2820      
704       David               Walker              1208      
705       Ralph               Reed                1988      
706       Shawn               Hayes               1865      
707       David               Ross                1190      
708       Howard              Coleman             3638      
709       Craig               Barnes              2806      
710       Gary                Wilson              1507      
711       Justin              Wilson              2350      
712       Ernest              Stewart             2041      
713       Norman              Miller              2314      
714       Rodney              Bell                4250      
715       Willie              Long                3409      
716       Bobby               Peterson            3984      
717       Gary                Alexander           2838      
718       Brian               Morris              2486      
719       Antonio             Jenkins             2969      
720       Terry               Ward                4519      
721       Carlos              Murphy              2957      
722       Thomas              Flores              3498      
723       Bruce               Butler              3640      
724       Stephen             Taylor              3277      
725       Randy               Baker               1043      
726       Bobby               Rodriguez           3229      
727       Jeffrey             Green               4655      
728       Brian               Miller              2046      
729       Brandon             Walker              1434      
730       Timothy             Brooks              3545      
731       Ernest              Harris              3074      
732       Willie              Mitchell            4049      
733       Jerry               Wood                3579      
734       Randy               Price               2476      
735       Scott               Stewart             1947      
736       Adam                Campbell            2863      
737       Samuel              Ross                3609      
738       Jason               Ward                1040      
739       Brian               Watson              2745      
740       Phillip             Scott               3172      
741       Ernest              Bailey              2263      
742       Larry               Lewis               4081      
743       Tony                Lopez               3208      
744       Matthew             Gonzalez            3864      
745       Jason               Lee                 4757      
746       Larry               Cook                3686      
747       David               Parker              4802      
748       Billy               Rogers              2019      
749       Roy                 Perez               3842      
750       Joe                 Lee                 4566      
751       Michael             Ross                4050      
752       Edward              Perez               1789      
753       Albert              Mitchell            1200      
754       Gary                Taylor              2326      
755       Victor              Sanders             3914      
756       Gary                Nelson              4963      
757       Bruce               Garcia              4658      
758       Shawn               Henderson           4796      
759       Ralph               Gonzales            2240      
760       Matthew             Richardson          4387      
761       Jason               Hayes               4064      
762       Joseph              Russell             3242      
763       Walter              Bryant              2519      
764       Walter              Nelson              4727      
765       Kevin               Kelly               1466      
766       Ralph               Hall                1005      
767       Robert              Doe                 4972      
768       Justin              Perry               3529      
769       James               Lewis               4589      
770       William             Gray                3014      
771       Steven              Roberts             2710      
772       Danny               Edwards             3415      
773       Samuel              Ramirez             3696      
774       Jonathan            Adams               4442      
775       Harold              Parker              4648      
776       Willie              Murphy              4936      
777       Jason               Patterson           4645      
778       Chris               Anderson            2548      
779       Carlos              Allen               3013      
780       Norman              Griffin             2626      
781       Adam                Simmons             1274      
782       Jonathan            Hayes               4041      
783       Jerry               Ross                1878      
784       Lawrence            Brooks              4680      
785       Dale                Howard              3505      
786       Eric                Anderson            2071      
787       Christopher         Hayes               2784      
788       Gerald              Phillips            3985      
789       Brandon             Ross                4939      
790       Andrew              Butler              2232      
791       Brian               Butler              4769      
792       Keith               Smith               3579      
793       Billy               Simmons             4755      
794       Alan                Lewis               1747      
795       Justin              Washington          1855      
796       Philip              Diaz                2162      
797       Joshua              Anderson            4843      
798       Mark                Bailey              2450      
799       Allen               Hernandez           2370      
800       Richard             Brooks              3729      
801       Louis               Smith               2204      
802       Dale                White               3533      
803       Earl                Mitchell            3683      
804       Tony                Bell                2999      
805       Timothy             Morris              4393      
806       Gregory             Richardson          2033      
807       Adam                Carter              3180      
808       Kevin               Ward                1120      
809       Albert              Rivera              2830      
810       Howard              Wood                4239      
811       Joshua              Murphy              4763      
812       Albert              Foster              2931      
813       Bryan               White               1516      
814       Anthony             Garcia              2248      
815       Mike                Jackson             2002      
816       Jimmy               Anderson            4296      
817       David               Adams               1567      
818       Dennis              Anderson            3274      
819       Mark                Lopez               1736      
820       Todd                Jenkins             4415      
821       Jerry               Lee                 3633      
822       Steven              Foster              4392      
823       Daniel              Ramirez             3467      
824       Shawn               Lewis               4713      
825       Harold              Jenkins             1720      
826       Ryan                Price               2398      
827       Lawrence            Perry               4480      
828       Chris               Edwards             3817      
829       Roy                 Mitchell            2341      
830       Mark                Carter              1121      
831       Shawn               Richardson          4264      
832       Adam                Parker              3382      
833       Antonio             Martin              2560      
834       Henry               Ward                3030      
835       Kevin               Murphy              4224      
836       Philip              Alexander           2146      
837       Randy               Foster              1078      
838       Dale                Murphy              4091      
839       Scott               Rogers              1547      
840       Louis               Bennett             1771      
841       Adam                Gonzalez            4803      
842       Mark                Johnson             1292      
843       Roger               Barnes              2544      
844       Curtis              Butler              4927      
845       Kenneth             Gonzalez            3000      
846       Bobby               Hill                3055      
847       Tony                Martinez            2937      
848       Thomas              Foster              2280      
849       Phillip             Moore               1420      
850       Billy               Ross                4495      
851       Raymond             Barnes              4287      
852       William             Barnes              2989      
853       Samuel              Perry               4952      
854       Raymond             Phillips            4766      
855       Tony                Bryant              2860      
856       George              Coleman             4349      
857       Douglas             Lopez               3929      
858       George              Lewis               4807      
859       Jeffrey             Hernandez           2446      
860       Frank               Washington          4995      
861       Steven              Torres              4024      
862       Jesse               Barnes              3425      
863       Ralph               Hayes               1162      
864       Richard             Sanders             4684      
865       Frank               Roberts             1591      
866       Earl                Long                3479      
867       Alan                Harris              1831      
868       Mike                Butler              1528      
869       Todd                Miller              4298      
870       Charles             Anderson            2897      
871       Earl                Gonzales            3631      
872       Carl                White               3960      
873       Jack                Hayes               2200      
874       Ryan                Torres              2753      
875       Clarence            Long                2818      
876       Richard             Lewis               1922      
877       Joe                 Robinson            4952      
878       Brian               Clark               2936      
879       Carlos              Evans               3293      
880       Robert              Powell              4139      
881       Adam                Thomas              4967      
882       Craig               Hill                2636      
883       Samuel              Hughes              4647      
884       Wayne               Rivera              2142      
885       Patrick             Thompson            1456      
886       Brian               Bennett             4562      
887       Todd                Brown               3375      
888       Anthony             Clark               3308      
889       Terry               Thompson            3945      
890       Larry               Barnes              2131      
891       Randy               Rogers              2495      
892       Gerald              Barnes              4364      
893       Philip              Green               1095      
894       Stephen             Hill                4628      
895       Aaron               Ward                1384      
896       Gerald              Howard              1856      
897       Joshua              Patterson           4398      
898       Matthew             Green               2218      
899       Todd                Bennett             1840      
900       Adam                Washington          3090      
901       Peter               Wood                1882      
902       Christopher         Foster              1856      
903       Patrick             Thomas              1626      
904       Eugene              Long                2583      
905       Kenneth             Perez               3274      
906       Ronald              Green               3159      
907       Chris               Gonzalez            4776      
908       Eugene              Powell              2382      
909       Jeffrey             Scott               2854      
910       Albert              Hall                3056      
911       David               King                1989      
912       Luis                Harris              2838      
913       Victor              Howard              2291      
914       Manuel              Adams               1282      
915       Martin              Lewis               2615      
916       Arthur              Hernandez           1394      
917       Arthur              Jackson             4377      
918       Johnny              Young               2006      
919       Tony                Martinez            3993      
920       David               Hughes              4776      
921       Tony                Johnson             2608      
922       Arthur              Stewart             3802      
923       Howard              Bryant              4459      
924       Samuel              Rodriguez           2799      
925       Bobby               Simmons             2759      
926       Mark                Brooks              4751      
927       Nathan              Brown               4751      
928       Brandon             Barnes              2050      
929       George              Green               1157      
930       Donald              Davis               1091      
931       Jose                Adams               3099      
932       Stanley             Taylor              4565      
933       Walter              Wood                4721      
